2016-03-08 16:16:44.627790|INFO    |ServerLibPriv |   | TeamSpeak 3 Server 3.0.11.2 (2014-12-15 14:43:52)
2016-03-08 16:16:44.627958|INFO    |ServerLibPriv |   | SystemInformation: Linux 2.6.32-042stab111.12 #1 SMP Thu Sep 17 11:38:20 MSK 2015 x86_64 Binary: 64bit
2016-03-08 16:16:44.628923|INFO    |DatabaseQuery |   | dbPlugin name:    SQLite3 plugin, Version 2, (c)TeamSpeak Systems GmbH
2016-03-08 16:16:44.628969|INFO    |DatabaseQuery |   | dbPlugin version: 3.6.21
2016-03-08 16:16:44.630953|INFO    |DatabaseQuery |   | checking database integrity (may take a while)
2016-03-08 16:16:44.799558|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-08 16:16:44.799633|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-08 16:16:44.953869|INFO    |Accounting    |   | Licensing Information
2016-03-08 16:16:44.953959|INFO    |Accounting    |   | type              : Non-profit
2016-03-08 16:16:44.954046|INFO    |Accounting    |   | starting date     : Mon Dec 24 00:00:00 2012
2016-03-08 16:16:44.954081|INFO    |Accounting    |   | ending date       : Sat Jun 29 00:00:00 2013
2016-03-08 16:16:44.954114|INFO    |Accounting    |   | max virtualservers: 10
2016-03-08 16:16:44.954145|INFO    |Accounting    |   | max slots         : 512
2016-03-08 16:16:47.157565|INFO    |              |   | Puzzle precompute time: 2187
2016-03-08 16:16:47.158100|INFO    |FileManager   |   | listening on 0.0.0.0:30033
2016-03-08 16:16:47.299003|INFO    |CIDRManager   |   | updated query_ip_whitelist ips: 127.0.0.1, 
2016-03-08 16:16:47.299870|INFO    |Query         |   | listening on 0.0.0.0:10011
2016-03-08 16:16:47.469200|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-08 16:16:47.473546|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-08 17:20:21.709701|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-08 17:20:21.709893|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-08 18:25:14.954375|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-08 18:25:14.954501|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-08 19:31:54.316514|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-08 19:31:54.316684|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-08 20:37:36.968597|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-08 20:37:36.968730|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-08 21:42:40.605162|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-08 21:42:40.605284|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-08 22:46:50.363796|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-08 22:46:50.363999|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-08 23:51:55.877262|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-08 23:51:55.877369|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-09 00:58:54.563656|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-09 00:58:54.563899|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-09 02:04:13.597460|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-09 02:04:13.597622|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-09 03:09:17.006701|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-09 03:09:17.006837|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-09 04:13:26.034752|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-09 04:13:26.034891|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-09 05:16:39.020210|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-09 05:16:39.020371|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-09 06:19:19.362584|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-09 06:19:19.362723|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-09 07:23:28.827749|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-09 07:23:28.827905|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-09 08:27:10.533863|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-09 08:27:10.534074|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-09 09:32:14.024078|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-09 09:32:14.024280|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-09 10:37:03.945609|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-09 10:37:03.976587|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-09 11:42:37.992027|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-09 11:42:37.992143|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-09 12:48:17.160025|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-09 12:48:17.160166|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-09 13:55:20.765373|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-09 13:55:20.765604|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-09 15:02:55.578197|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-09 15:02:55.578309|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-09 16:10:23.485297|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-09 16:10:23.485452|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-09 17:17:51.065159|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-09 17:17:51.065274|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-09 18:23:47.233833|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-09 18:23:47.233922|ERROR   |              |   | Unable to connect to primary address, trying secondary
