2014-12-18 17:20:38.655227|INFO    |VirtualServer |  1| listening on 0.0.0.0:9987
2014-12-20 18:12:14.612010|INFO    |VirtualServer |  1| client 'FrendzeL'(id:75) was added to channelgroup 'Channel Admin'(id:5) by client 'Kurenai'(id:63) in channel 'CS'(id:14)
2014-12-20 18:12:28.461406|INFO    |VirtualServer |  1| client (id:75) was added to servergroup 'Prenium'(id:12) by client 'Kurenai'(id:63)
2014-12-21 19:08:58.932472|INFO    |VirtualServer |  1| permission 'i_channel_needed_subscribe_power'(id:139) with values (value:75) was added by '&#960;cKe&#165;&#254;l'(id:2) to channel '[spacer0]'(id:31)
2014-12-21 19:36:35.296689|INFO    |VirtualServer |  1| permission 'i_client_max_avatar_filesize'(id:175) with values (value:75) was added by '&#960;cKe&#165;&#254;l'(id:2) to client (id:2)
2014-12-21 19:36:36.240929|INFO    |VirtualServer |  1| permission 'i_client_max_avatar_filesize'(id:175) with values (value:75) was added by '&#960;cKe&#165;&#254;l'(id:2) to client (id:2)
2014-12-21 20:46:27.047781|INFO    |VirtualServer |  1| permission 'i_client_needed_kick_from_server_power'(id:197) with values (value:5) was added by '!&#960;cKe&#165;&#254;l'(id:2) to client (id:63)
2014-12-21 20:46:32.514198|INFO    |VirtualServer |  1| permission 'i_client_kick_from_server_power'(id:196) with values (value:5) was added by '!&#960;cKe&#165;&#254;l'(id:2) to client (id:63)
2014-12-22 00:31:37.308910|INFO    |VirtualServer |  1| permission 'i_icon_id'(id:142) with values (value:1633959742) was added by '&#960;cKe&#165;&#254;l'(id:2) to client (id:63)
2014-12-22 12:29:27.918405|INFO    |VirtualServer |  1| permission 'i_client_needed_ban_power'(id:201) with values (value:80) was added by 'McKey'(id:2) to client (id:2)
2014-12-22 12:29:33.062603|INFO    |VirtualServer |  1| permission 'i_client_max_avatar_filesize'(id:175) with values (value:75) was added by 'McKey'(id:2) to client (id:2)
2014-12-22 12:29:33.205008|INFO    |VirtualServer |  1| permission 'i_client_max_avatar_filesize'(id:175) with values (value:75) was added by 'McKey'(id:2) to client (id:2)
2014-12-22 12:29:33.635516|INFO    |VirtualServer |  1| permission 'i_client_max_avatar_filesize'(id:175) with values (value:75) was added by 'McKey'(id:2) to client (id:2)
2014-12-22 12:29:38.976238|INFO    |VirtualServer |  1| permission 'i_client_max_avatar_filesize'(id:175) with values (value:999999999) was added by 'McKey'(id:2) to client (id:2)
2014-12-22 18:21:34.686854|INFO    |VirtualServer |  1| client 'Ashie ;3'(id:91) was added to channelgroup 'Channel Admin'(id:5) by client 'McKey'(id:2) in channel 'Terraria'(id:12)
2014-12-22 18:21:38.401307|INFO    |VirtualServer |  1| client (id:91) was added to servergroup 'Prenium'(id:12) by client 'McKey'(id:2)
2014-12-22 23:24:28.486171|INFO    |VirtualServer |  1| servergroup 'Normal'(id:7) was copied by 'McKey'(id:2) to 'Ahri'(id:14)
2014-12-22 23:26:44.255634|INFO    |VirtualServer |  1| permission 'i_icon_id'(id:142) was deleted by 'McKey'(id:2) from servergroup 'Ahri'(id:14)
2014-12-22 23:29:11.420273|INFO    |VirtualServer |  1| permission 'i_icon_id'(id:142) with values (value:-341633553, negated:0, skipchannel:0) was added by 'McKey'(id:2) to servergroup 'Ahri'(id:14)
2014-12-22 23:29:20.046445|INFO    |VirtualServer |  1| client (id:5) was added to servergroup 'Ahri'(id:14) by client 'McKey'(id:2)
