2016-03-16 19:35:05.318400|INFO    |VirtualServer |  1| listening on 0.0.0.0:9987
2016-03-16 19:35:05.724384|INFO    |VirtualServerBase|  1| client connected 'Mrroczny RED,Gimbek'(id:1729) from 83.25.146.164:49566
2016-03-16 19:35:06.402869|INFO    |VirtualServerBase|  1| client connected 'Mistrz Jeleni'(id:2538) from 31.183.248.228:20315
2016-03-16 19:35:06.438605|INFO    |VirtualServerBase|  1| client connected 'Scarlet'(id:1383) from 176.221.124.102:2924
2016-03-16 19:35:06.751721|INFO    |VirtualServerBase|  1| client connected 'Soban'(id:2534) from 155.133.52.165:51361
2016-03-16 19:35:07.575180|INFO    |VirtualServerBase|  1| client connected 'Kijori'(id:5) from 83.23.21.2:59528
2016-03-16 19:35:07.880765|INFO    |VirtualServerBase|  1| client connected 'KriSS (mix)'(id:2530) from 83.23.80.126:50792
2016-03-16 19:35:08.072177|INFO    |VirtualServerBase|  1| client connected 'hlebek'(id:1450) from 83.23.225.34:58170
2016-03-16 19:35:09.569985|INFO    |VirtualServerBase|  1| client connected 'McK'(id:2) from 213.238.99.117:34694
2016-03-16 19:35:09.635785|INFO    |VirtualServerBase|  1| client connected 'arek'(id:1907) from 83.8.253.50:2327
2016-03-16 19:36:57.324124|INFO    |VirtualServerBase|  1| channel 'Piecyk hlebka'(id:615) edited by 'hlebek'(id:1450)
2016-03-16 19:37:21.867384|INFO    |VirtualServerBase|  1| client connected 'FrendzeL'(id:2519) from 83.23.225.34:64613
2016-03-16 19:37:43.431362|INFO    |VirtualServerBase|  1| client disconnected 'FrendzeL'(id:2519) reason 'reasonmsg=Buruburu Buruburu!! Ciuu Ciuuuuuu!!!! Poci&#261;g odjecha&#322;... D:'
2016-03-16 19:39:02.311381|INFO    |VirtualServer |  1| permission 'i_client_poke_power'(id:221) with values (value:90, negated:0, skipchannel:0) was added by 'Scarlet'(id:1383) to servergroup 'New'(id:8)
2016-03-16 19:39:04.223397|INFO    |VirtualServer |  1| ban added reason='Przejebane' cluid='7N6oS6kOtbyrC62XMLrqwBrxbhc=' bantime=0 by client 'McK'(id:2)
2016-03-16 19:39:04.223853|INFO    |VirtualServer |  1| ban added reason='Przejebane' ip='91.231.122.82' bantime=0 by client 'McK'(id:2)
2016-03-16 19:44:42.950330|INFO    |VirtualServerBase|  1| client disconnected 'Mistrz Jeleni'(id:2538) reason 'reasonmsg=leaving'
2016-03-16 19:46:03.010796|INFO    |VirtualServerBase|  1| client disconnected 'Soban'(id:2534) reason 'reasonmsg=Eloooo!'
2016-03-16 19:56:36.222030|INFO    |VirtualServerBase|  1| client connected 'Szablos'(id:1910) from 91.192.89.175:4281
2016-03-16 19:58:11.418368|INFO    |VirtualServer |  1| permission 'b_client_is_priority_speaker'(id:177) with values (value:1) was added by 'McK'(id:2) for client (id:5) and channel 'Klawiatura Kijori'ego'(id:595)
2016-03-16 19:58:14.130461|INFO    |VirtualServer |  1| permission 'b_client_is_priority_speaker'(id:177) was deleted by 'McK'(id:2) for client (id:5) and channel 'Klawiatura Kijori'ego'(id:595)
2016-03-16 19:58:23.510316|INFO    |VirtualServerBase|  1| client connected 'Kolakso'(id:1856) from 91.239.113.78:61289
2016-03-16 20:02:53.616993|INFO    |VirtualServerBase|  1| client connected 'Turek'(id:1973) from 83.28.53.153:63389
2016-03-16 20:04:13.086947|INFO    |VirtualServerBase|  1| client disconnected 'arek'(id:1907) reason 'reasonmsg=leaving'
2016-03-16 20:13:12.638843|INFO    |VirtualServer |  1| permission 'i_client_poke_power'(id:221) with values (value:70, negated:0, skipchannel:0) was added by 'Scarlet'(id:1383) to servergroup 'New'(id:8)
2016-03-16 20:13:33.606342|INFO    |VirtualServer |  1| permission 'i_client_needed_poke_power'(id:222) with values (value:70, negated:0, skipchannel:0) was added by 'Scarlet'(id:1383) to servergroup 'Head Admin'(id:128)
2016-03-16 20:13:35.833409|INFO    |VirtualServer |  1| client (id:1383) was added to servergroup 'W&#322;a&#347;ciciel'(id:129) by client 'McK'(id:2)
2016-03-16 20:13:38.066015|INFO    |VirtualServer |  1| permission 'i_client_needed_poke_power'(id:222) with values (value:70, negated:0, skipchannel:0) was added by 'Scarlet'(id:1383) to servergroup 'Moderator'(id:125)
2016-03-16 20:13:42.987396|INFO    |VirtualServer |  1| permission 'i_client_needed_poke_power'(id:222) with values (value:70, negated:0, skipchannel:0) was added by 'Scarlet'(id:1383) to servergroup 'W&#322;a&#347;ciciel'(id:129)
2016-03-16 20:13:47.938208|INFO    |VirtualServer |  1| permission 'i_client_needed_poke_power'(id:222) with values (value:70, negated:0, skipchannel:0) was added by 'Scarlet'(id:1383) to servergroup 'Zajerestrowany'(id:9)
2016-03-16 20:13:54.016808|INFO    |VirtualServer |  1| permission 'i_client_needed_poke_power'(id:222) with values (value:70, negated:0, skipchannel:0) was added by 'Scarlet'(id:1383) to servergroup 'Vip'(id:126)
2016-03-16 20:14:40.783299|INFO    |VirtualServer |  1| permission 'i_client_needed_poke_power'(id:222) with values (value:80, negated:0, skipchannel:0) was added by 'Scarlet'(id:1383) to servergroup 'Ch&#322;opak'(id:203)
2016-03-16 20:14:42.546640|INFO    |VirtualServer |  1| permission 'i_client_needed_poke_power'(id:222) with values (value:80, negated:0, skipchannel:0) was added by 'Scarlet'(id:1383) to servergroup 'Dziewczyna'(id:204)
2016-03-16 20:14:44.840232|INFO    |VirtualServer |  1| permission 'i_client_needed_poke_power'(id:222) with values (value:80, negated:0, skipchannel:0) was added by 'Scarlet'(id:1383) to servergroup 'Obojniak'(id:205)
2016-03-16 20:14:58.041516|INFO    |VirtualServerBase|  1| client connected 'FrendzeL'(id:2519) from 83.23.225.34:55861
2016-03-16 20:15:53.211404|INFO    |VirtualServer |  1| permission 'i_client_needed_poke_power'(id:222) with values (value:90) was added by 'Scarlet'(id:1383) to channelgroup 'Admin kana&#322;u'(id:5)
2016-03-16 20:17:50.712002|INFO    |VirtualServer |  1| permission 'i_client_needed_poke_power'(id:222) with values (value:80, negated:0, skipchannel:0) was added by 'Scarlet'(id:1383) to servergroup 'Nie chce podawa&#263;'(id:207)
2016-03-16 20:17:56.676901|INFO    |VirtualServer |  1| permission 'i_client_poke_power'(id:221) with values (value:71, negated:0, skipchannel:0) was added by 'Scarlet'(id:1383) to servergroup 'New'(id:8)
2016-03-16 20:19:09.795509|INFO    |VirtualServer |  1| permission 'i_client_poke_power'(id:221) with values (value:71) was added by 'Scarlet'(id:1383) to channelgroup 'Normal'(id:8)
2016-03-16 20:19:25.845213|INFO    |VirtualServer |  1| permission 'i_client_needed_poke_power'(id:222) with values (value:80, negated:0, skipchannel:0) was added by 'Scarlet'(id:1383) to servergroup 'Vip'(id:126)
2016-03-16 20:19:30.229277|INFO    |VirtualServer |  1| permission 'i_client_needed_poke_power'(id:222) with values (value:80, negated:0, skipchannel:0) was added by 'Scarlet'(id:1383) to servergroup 'Moderator'(id:125)
2016-03-16 20:20:02.095183|INFO    |VirtualServer |  1| permission 'i_client_needed_poke_power'(id:222) with values (value:70) was added by 'Scarlet'(id:1383) to channelgroup 'Normal'(id:8)
2016-03-16 20:20:28.427447|INFO    |VirtualServer |  1| client (id:1383) was removed from servergroup 'W&#322;a&#347;ciciel'(id:129) by client 'Scarlet'(id:1383)
2016-03-16 20:20:52.122143|INFO    |VirtualServer |  1| permission 'i_client_needed_poke_power'(id:222) was deleted by 'Scarlet'(id:1383) from channelgroup 'Admin kana&#322;u'(id:5)
2016-03-16 20:22:10.559321|INFO    |VirtualServerBase|  1| client disconnected 'KriSS'(id:2530) reason 'reasonmsg=leaving'
