2016-03-08 16:16:47.298544|INFO    |VirtualServer |  1| listening on 0.0.0.0:9987
2016-03-08 16:16:47.773185|INFO    |VirtualServerBase|  1| client connected 'McKey'(id:2) from 78.10.56.22:57601
2016-03-08 16:18:26.865527|INFO    |VirtualServerBase|  1| client connected 'ZaMoReek'(id:2504) from 83.8.60.185:50198
2016-03-08 16:18:41.075543|INFO    |VirtualServerBase|  1| client connected 'Mrroczny RED'(id:1729) from 79.186.140.122:59728
2016-03-08 16:21:15.095052|INFO    |VirtualServerBase|  1| client disconnected 'ZaMoReek'(id:2504) reason 'reasonmsg=leaving'
2016-03-08 16:24:25.313965|INFO    |VirtualServerBase|  1| client connected 'Kijori'(id:5) from 79.184.23.176:43484
2016-03-08 16:24:53.279666|INFO    |VirtualServerBase|  1| client disconnected 'Kijori'(id:5) reason 'reasonmsg=leaving'
2016-03-08 16:24:55.380722|INFO    |VirtualServerBase|  1| client connected 'Kijori'(id:2514) from 79.184.23.176:43484
2016-03-08 16:25:07.015473|INFO    |VirtualServerBase|  1| client disconnected 'Kijori'(id:2514) reason 'reasonmsg=leaving'
2016-03-08 16:25:09.205562|INFO    |VirtualServerBase|  1| client connected 'Kijori'(id:5) from 79.184.23.176:43484
2016-03-08 16:25:21.126105|INFO    |VirtualServerBase|  1| client disconnected 'Kijori'(id:5) reason 'reasonmsg=leaving'
2016-03-08 16:27:53.453974|INFO    |VirtualServerBase|  1| client connected 'Kijori'(id:5) from 79.184.23.176:59833
2016-03-08 16:33:03.972355|INFO    |VirtualServerBase|  1| client connected 'PanKocyk'(id:2249) from 91.231.24.173:56499
2016-03-08 16:33:13.423185|INFO    |VirtualServerBase|  1| client disconnected 'PanKocyk'(id:2249) reason 'reasonmsg=leaving'
2016-03-08 16:35:04.594646|INFO    |VirtualServerBase|  1| client connected 'PanKocyk'(id:2249) from 91.231.24.173:64692
2016-03-08 16:37:20.731624|INFO    |VirtualServerBase|  1| client connected 'Mistyczny Scarlet'(id:1383) from 176.221.124.102:12658
2016-03-08 16:37:45.584856|INFO    |VirtualServer |  1| client (id:1729) was added to servergroup 'Normal'(id:117) by client 'Mistyczny Scarlet'(id:1383)
2016-03-08 16:37:49.348102|INFO    |VirtualServer |  1| client (id:5) was added to servergroup 'Normal'(id:117) by client 'Mistyczny Scarlet'(id:1383)
2016-03-08 16:39:41.244344|INFO    |VirtualServerBase|  1| client disconnected 'Mistyczny Scarlet'(id:1383) reason 'reasonmsg=Bo moge :v'
2016-03-08 16:49:38.804736|INFO    |VirtualServerBase|  1| client connected 'Helion99'(id:2509) from 31.6.144.113:57880
2016-03-08 16:49:55.991275|INFO    |VirtualServerBase|  1| client disconnected 'Helion99'(id:2509) reason 'reasonmsg=leaving'
2016-03-08 16:50:23.604461|INFO    |VirtualServer |  1| permission 'i_client_needed_poke_power'(id:222) was deleted by 'McKey'(id:2) from client (id:2)
2016-03-08 16:51:18.905461|INFO    |VirtualServer |  1| permission 'i_client_poke_power'(id:221) with values (value:100, negated:0, skipchannel:0) was added by 'McKey'(id:2) to servergroup 'Normal'(id:117)
2016-03-08 16:51:45.552325|INFO    |VirtualServer |  1| permission 'i_channel_join_power'(id:136) with values (value:100) was added by 'McKey'(id:2) to channelgroup 'Admin kana&#322;u'(id:5)
2016-03-08 16:51:48.707993|INFO    |VirtualServer |  1| permission 'i_channel_subscribe_power'(id:138) with values (value:100) was added by 'McKey'(id:2) to channelgroup 'Admin kana&#322;u'(id:5)
2016-03-08 16:51:49.736409|INFO    |VirtualServer |  1| permission 'i_channel_subscribe_power'(id:138) was deleted by 'McKey'(id:2) from channelgroup 'Admin kana&#322;u'(id:5)
2016-03-08 16:52:06.887877|INFO    |VirtualServer |  1| permission 'i_channel_modify_power'(id:121) with values (value:100) was added by 'McKey'(id:2) to channelgroup 'Admin kana&#322;u'(id:5)
2016-03-08 16:56:10.844310|INFO    |VirtualServer |  1| permission 'i_channel_needed_join_power'(id:137) with values (value:0) was added by 'McKey'(id:2) to channel 'Fredownia'(id:647)
2016-03-08 16:56:16.152529|INFO    |VirtualServer |  1| permission 'i_channel_needed_join_power'(id:137) with values (value:0) was added by 'McKey'(id:2) to channel 'Gwiazda Scarleta'(id:593)
2016-03-08 16:57:12.559537|INFO    |VirtualServerBase|  1| client disconnected 'Kijori'(id:5) reason 'reasonmsg=connection lost'
2016-03-08 16:57:34.611215|INFO    |VirtualServerBase|  1| client connected 'Kijori'(id:5) from 79.184.23.176:59387
2016-03-08 17:01:17.438067|INFO    |VirtualServer |  1| permission 'i_icon_id'(id:142) with values (value:100) was added by 'McKey'(id:2) to channelgroup 'Admin kana&#322;u'(id:5)
2016-03-08 17:01:21.816632|INFO    |VirtualServer |  1| permission 'i_icon_id'(id:142) with values (value:200) was added by 'McKey'(id:2) to channelgroup 'Zast&#281;pca'(id:6)
2016-03-08 17:01:25.301691|INFO    |VirtualServer |  1| permission 'i_icon_id'(id:142) with values (value:600) was added by 'McKey'(id:2) to channelgroup 'Voice'(id:7)
2016-03-08 17:01:48.541891|INFO    |VirtualServer |  1| permission 'i_channel_needed_modify_power'(id:122) with values (value:75) was added by 'McKey'(id:2) to channel 'Kr&#243;lestwo REDa'(id:724)
2016-03-08 17:01:50.608859|INFO    |VirtualServerBase|  1| client disconnected 'Mrroczny RED'(id:1729) reason 'reasonmsg=leaving'
2016-03-08 17:01:57.476748|INFO    |VirtualServerBase|  1| client connected 'Mrroczny RED'(id:1729) from 79.186.140.122:61960
2016-03-08 17:16:13.260010|INFO    |VirtualServerBase|  1| client connected 'MattikXD'(id:222) from 89.74.50.250:63859
2016-03-08 17:16:16.670864|INFO    |VirtualServerBase|  1| client disconnected 'MattikXD'(id:222) reason 'reasonmsg=leaving'
2016-03-08 17:35:28.772014|INFO    |VirtualServerBase|  1| client connected 'arek'(id:1907) from 83.8.253.178:1067
2016-03-08 17:36:23.224208|INFO    |VirtualServerBase|  1| client disconnected 'Kijori'(id:5) reason 'reasonmsg=leaving'
2016-03-08 17:39:38.901016|INFO    |VirtualServerBase|  1| client connected 'Kijori'(id:5) from 79.184.23.176:51248
2016-03-08 18:06:09.528875|INFO    |VirtualServerBase|  1| client disconnected 'arek'(id:1907) reason 'reasonmsg=connection lost'
2016-03-08 18:07:40.614103|INFO    |VirtualServerBase|  1| client connected 'Mistyczny Scarlet'(id:1383) from 176.221.124.102:12769
2016-03-08 18:07:58.560237|INFO    |VirtualServer |  1| file download from (id:615), '/ISAAC AFTERBIRTH SAVE 2 III 2016 - WSZYTKO PRZESZ&#321;E NA HARD. BRAK THE LOSTA.rar' by client 'Mistyczny Scarlet'(id:1383)
2016-03-08 18:08:01.288650|INFO    |VirtualServerBase|  1| client disconnected 'Mistyczny Scarlet'(id:1383) reason 'reasonmsg=Bo moge :v'
2016-03-08 18:10:38.681629|INFO    |VirtualServerBase|  1| client connected 'vipcior'(id:934) from 78.88.228.185:50211
2016-03-08 18:10:41.358440|INFO    |VirtualServerBase|  1| client disconnected 'vipcior'(id:934) reason 'reasonmsg=leaving'
2016-03-08 18:13:59.344773|INFO    |VirtualServerBase|  1| client connected 'arek'(id:1907) from 83.8.253.178:2146
2016-03-08 18:25:16.807053|INFO    |VirtualServer |  1| client 'McKey'(id:2) was added to channelgroup 'Admin kana&#322;u'(id:5) by client 'Mrroczny RED'(id:1729) in channel 'Kr&#243;lestwo REDa'(id:724)
