2015-04-22 23:42:14.304027|INFO    |ServerLibPriv |   | TeamSpeak 3 Server 3.0.11.2 (2014-12-15 14:43:52)
2015-04-22 23:42:14.605655|INFO    |ServerLibPriv |   | SystemInformation: Linux 2.6.32-042stab106.4 #1 SMP Fri Mar 27 15:19:28 MSK 2015 x86_64 Binary: 64bit
2015-04-22 23:42:16.455732|INFO    |DatabaseQuery |   | dbPlugin name:    SQLite3 plugin, Version 2, (c)TeamSpeak Systems GmbH
2015-04-22 23:42:19.531358|INFO    |DatabaseQuery |   | dbPlugin version: 3.6.21
2015-04-22 23:42:28.539559|INFO    |DatabaseQuery |   | checking database integrity (may take a while)
2015-04-22 23:42:51.089480|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-04-22 23:42:52.503094|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-04-22 23:42:59.244407|INFO    |Accounting    |   | Licensing Information
2015-04-22 23:42:59.456407|INFO    |Accounting    |   | type              : Non-profit
2015-04-22 23:42:59.456577|INFO    |Accounting    |   | starting date     : Mon Dec 24 00:00:00 2012
2015-04-22 23:42:59.456621|INFO    |Accounting    |   | ending date       : Sat Jun 29 00:00:00 2013
2015-04-22 23:42:59.456662|INFO    |Accounting    |   | max virtualservers: 10
2015-04-22 23:42:59.456703|INFO    |Accounting    |   | max slots         : 512
2015-04-22 23:43:17.747453|INFO    |              |   | Puzzle precompute time: 15065
2015-04-22 23:43:17.938962|INFO    |FileManager   |   | listening on 0.0.0.0:30033
2015-04-22 23:43:22.258459|INFO    |CIDRManager   |   | updated query_ip_whitelist ips: 127.0.0.1, 
2015-04-22 23:43:22.349828|INFO    |Query         |   | listening on 0.0.0.0:10011
2015-04-22 23:43:22.716113|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-04-22 23:43:23.179570|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-04-22 23:48:20.000073|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-22 23:48:22.000072|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-22 23:58:18.131903|ERROR   |              |   | TS3ANetwork::ResolveHostName failed error: -2 (Ta nazwa lub us&#322;uga jest nieznana) 111
2015-04-22 23:58:18.132034|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-22 23:58:20.000068|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-22 23:58:22.000059|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-23 00:08:18.213114|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-23 00:08:20.034204|ERROR   |              |   | TS3ANetwork::ResolveHostName failed error: -2 (Ta nazwa lub us&#322;uga jest nieznana) 111
2015-04-23 00:08:20.043630|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-23 00:08:22.012283|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-23 00:18:18.200834|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-23 00:18:20.021737|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-23 00:18:22.000128|ERROR   |              |   | TS3ANetwork::ResolveHostName failed error: -2 (Ta nazwa lub us&#322;uga jest nieznana) 111
2015-04-23 00:18:22.000241|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-23 00:28:18.281081|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-23 00:28:20.000051|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-23 00:28:22.000079|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-23 00:38:18.281892|ERROR   |              |   | TS3ANetwork::ResolveHostName failed error: -2 (Ta nazwa lub us&#322;uga jest nieznana) 111
2015-04-23 00:38:18.282088|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-23 00:38:20.000063|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-23 00:38:22.000054|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-23 00:48:08.580779|ERROR   |              |   | TS3ANetwork::ResolveHostName failed error: -2 (Ta nazwa lub us&#322;uga jest nieznana) 0
2015-04-23 00:48:08.581011|ERROR   |              |   | TS3ANetwork::ResolveHostName failed error: -2 (Ta nazwa lub us&#322;uga jest nieznana) 0
2015-04-23 00:48:08.581102|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-04-23 00:48:08.581365|ERROR   |              |   | TS3ANetwork::ResolveHostName failed error: -2 (Ta nazwa lub us&#322;uga jest nieznana) 0
2015-04-23 00:48:08.581486|ERROR   |Accounting    |   | license expired, shutting down!
2015-04-23 00:48:18.197237|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-23 00:48:20.000099|ERROR   |              |   | TS3ANetwork::ResolveHostName failed error: -2 (Ta nazwa lub us&#322;uga jest nieznana) 111
2015-04-23 00:48:20.000192|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-23 00:48:22.000051|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-23 01:51:31.282761|ERROR   |              |   | TS3ANetwork::ResolveHostName failed error: -2 (Ta nazwa lub us&#322;uga jest nieznana) 0
2015-04-23 01:51:31.282894|ERROR   |              |   | TS3ANetwork::ResolveHostName failed error: -2 (Ta nazwa lub us&#322;uga jest nieznana) 0
2015-04-23 01:51:31.282935|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-04-23 01:51:31.283025|ERROR   |              |   | TS3ANetwork::ResolveHostName failed error: -2 (Ta nazwa lub us&#322;uga jest nieznana) 0
2015-04-23 02:56:05.406606|ERROR   |              |   | TS3ANetwork::ResolveHostName failed error: -2 (Ta nazwa lub us&#322;uga jest nieznana) 0
2015-04-23 02:56:05.406837|ERROR   |              |   | TS3ANetwork::ResolveHostName failed error: -2 (Ta nazwa lub us&#322;uga jest nieznana) 0
2015-04-23 02:56:05.406930|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-04-23 02:56:05.407112|ERROR   |              |   | TS3ANetwork::ResolveHostName failed error: -2 (Ta nazwa lub us&#322;uga jest nieznana) 0
2015-04-23 03:59:32.136884|ERROR   |              |   | TS3ANetwork::ResolveHostName failed error: -2 (Ta nazwa lub us&#322;uga jest nieznana) 0
2015-04-23 03:59:32.137033|ERROR   |              |   | TS3ANetwork::ResolveHostName failed error: -2 (Ta nazwa lub us&#322;uga jest nieznana) 0
2015-04-23 03:59:32.137086|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-04-23 03:59:32.137164|ERROR   |              |   | TS3ANetwork::ResolveHostName failed error: -2 (Ta nazwa lub us&#322;uga jest nieznana) 0
2015-04-23 05:03:00.911904|ERROR   |              |   | TS3ANetwork::ResolveHostName failed error: -2 (Ta nazwa lub us&#322;uga jest nieznana) 0
2015-04-23 05:03:00.912143|ERROR   |              |   | TS3ANetwork::ResolveHostName failed error: -2 (Ta nazwa lub us&#322;uga jest nieznana) 0
2015-04-23 05:03:00.912225|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-04-23 05:03:00.912307|ERROR   |              |   | TS3ANetwork::ResolveHostName failed error: -2 (Ta nazwa lub us&#322;uga jest nieznana) 0
