2015-04-03 19:56:50.059791|INFO    |ServerLibPriv |   | TeamSpeak 3 Server 3.0.11.2 (2014-12-15 14:43:52)
2015-04-03 19:56:50.100220|INFO    |ServerLibPriv |   | SystemInformation: Linux 2.6.32-042stab103.6 #1 SMP Wed Jan 21 13:07:39 MSK 2015 x86_64 Binary: 64bit
2015-04-03 19:56:50.323528|INFO    |DatabaseQuery |   | dbPlugin name:    SQLite3 plugin, Version 2, (c)TeamSpeak Systems GmbH
2015-04-03 19:56:50.323728|INFO    |DatabaseQuery |   | dbPlugin version: 3.6.21
2015-04-03 19:56:50.325624|INFO    |DatabaseQuery |   | checking database integrity (may take a while)
2015-04-03 19:56:50.430135|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-04-03 19:56:50.430228|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-04-03 19:56:50.548505|INFO    |Accounting    |   | Licensing Information
2015-04-03 19:56:50.548598|INFO    |Accounting    |   | type              : Non-profit
2015-04-03 19:56:50.548661|INFO    |Accounting    |   | starting date     : Mon Dec 24 00:00:00 2012
2015-04-03 19:56:50.548696|INFO    |Accounting    |   | ending date       : Sat Jun 29 00:00:00 2013
2015-04-03 19:56:50.548729|INFO    |Accounting    |   | max virtualservers: 10
2015-04-03 19:56:50.548760|INFO    |Accounting    |   | max slots         : 512
2015-04-03 19:56:53.616292|INFO    |              |   | Puzzle precompute time: 3047
2015-04-03 19:56:53.617789|INFO    |FileManager   |   | listening on 0.0.0.0:30033
2015-04-03 19:56:53.949279|INFO    |CIDRManager   |   | updated query_ip_whitelist ips: 127.0.0.1, 
2015-04-03 19:56:53.950438|INFO    |Query         |   | listening on 0.0.0.0:10011
2015-04-03 19:56:53.982772|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-04-03 19:56:53.982890|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-04-03 20:01:55.014633|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-03 20:01:57.007304|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-03 20:11:53.793457|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-03 20:11:55.000066|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-03 20:11:57.010335|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-03 20:21:53.872052|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-03 20:21:55.000296|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-03 20:21:57.000052|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-03 20:31:53.958412|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-03 20:31:55.014180|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-03 20:31:57.000228|ERROR   |              |   | TS3ANetwork::Send failed error: 111
