2016-03-16 19:35:02.047807|INFO    |ServerLibPriv |   | TeamSpeak 3 Server 3.0.11.2 (2014-12-15 14:43:52)
2016-03-16 19:35:02.080325|INFO    |ServerLibPriv |   | SystemInformation: Linux 2.6.32-042stab111.12 #1 SMP Thu Sep 17 11:38:20 MSK 2015 x86_64 Binary: 64bit
2016-03-16 19:35:02.088299|INFO    |DatabaseQuery |   | dbPlugin name:    SQLite3 plugin, Version 2, (c)TeamSpeak Systems GmbH
2016-03-16 19:35:02.088395|INFO    |DatabaseQuery |   | dbPlugin version: 3.6.21
2016-03-16 19:35:02.091547|INFO    |DatabaseQuery |   | checking database integrity (may take a while)
2016-03-16 19:35:02.380906|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-16 19:35:02.381017|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-16 19:35:02.607129|INFO    |Accounting    |   | Licensing Information
2016-03-16 19:35:02.607239|INFO    |Accounting    |   | type              : Non-profit
2016-03-16 19:35:02.607327|INFO    |Accounting    |   | starting date     : Mon Dec 24 00:00:00 2012
2016-03-16 19:35:02.607387|INFO    |Accounting    |   | ending date       : Sat Jun 29 00:00:00 2013
2016-03-16 19:35:02.607606|INFO    |Accounting    |   | max virtualservers: 10
2016-03-16 19:35:02.607652|INFO    |Accounting    |   | max slots         : 512
2016-03-16 19:35:04.905850|INFO    |              |   | Puzzle precompute time: 2196
2016-03-16 19:35:04.911395|INFO    |FileManager   |   | listening on 0.0.0.0:30033
2016-03-16 19:35:05.321346|INFO    |CIDRManager   |   | updated query_ip_whitelist ips: 127.0.0.1, 
2016-03-16 19:35:05.322171|INFO    |Query         |   | listening on 0.0.0.0:10011
2016-03-16 19:35:05.419184|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-16 19:35:05.419290|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-16 20:37:59.286717|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-16 20:37:59.286858|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-16 21:41:48.613381|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-16 21:41:48.613560|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-16 22:45:34.485736|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-16 22:45:34.485898|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-16 23:50:58.926653|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-16 23:50:58.926817|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-17 00:55:03.894194|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-17 00:55:03.894441|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-17 01:59:24.660934|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-17 01:59:24.661110|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-17 03:01:58.562290|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-17 03:01:58.562484|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-17 04:05:18.449394|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-17 04:05:18.449571|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-17 05:07:55.093006|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-17 05:07:55.093146|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-17 06:11:07.117396|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-17 06:11:07.117601|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-17 07:13:27.276434|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-17 07:13:27.276595|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-17 08:16:48.909329|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-17 08:16:48.909480|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-17 09:20:33.431018|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-17 09:20:33.431786|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-17 10:24:03.573151|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-17 10:24:03.573316|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-17 11:27:28.346059|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-17 11:27:28.346250|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-17 12:30:11.917213|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-17 12:30:11.917398|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-17 13:33:46.035938|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-17 13:33:46.036076|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-17 14:37:06.123782|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-17 14:37:06.123926|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-17 15:40:49.537909|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-17 15:40:49.538050|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-17 16:43:21.589695|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-17 16:43:21.589895|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-17 17:44:50.844083|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-17 17:44:50.844239|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-17 18:48:11.987846|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-17 18:48:11.987991|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-17 19:50:33.375586|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-17 19:50:33.375785|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-17 20:53:11.220298|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-17 20:53:11.220437|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-17 21:55:58.597718|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-17 21:55:58.597940|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-17 22:58:52.823431|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-17 22:58:52.823583|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-18 00:02:39.326061|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-18 00:02:39.326235|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-18 01:06:15.264668|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-18 01:06:15.264807|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-18 02:08:02.522947|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-18 02:08:02.523110|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-18 03:11:14.094024|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-18 03:11:14.094207|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-18 04:14:13.032536|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-18 04:14:13.032729|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-18 05:17:37.307591|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-18 05:17:37.307742|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-18 06:20:18.695698|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-18 06:20:18.695902|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-18 07:22:40.636536|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-18 07:22:40.636708|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-18 08:25:34.830195|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-18 08:25:34.830352|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-18 09:29:30.530055|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-18 09:29:30.530206|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-18 10:31:14.654238|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-18 10:31:14.656903|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-18 11:33:32.153952|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-18 11:33:32.154124|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-18 12:36:14.600496|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-18 12:36:14.600632|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-18 13:38:34.137937|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-18 13:38:34.138087|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-18 14:40:46.101415|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-18 14:40:46.101542|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-18 15:44:18.982507|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-18 15:44:18.982658|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-18 16:47:03.364983|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-18 16:47:03.365131|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-18 17:49:42.318252|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-18 17:49:42.318415|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-18 18:53:08.497823|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-18 18:53:08.497969|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-18 19:55:22.054437|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-18 19:55:22.054595|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-18 20:58:14.898815|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-18 20:58:14.898957|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-18 22:01:11.369576|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-18 22:01:11.369719|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-18 23:03:45.505049|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-18 23:03:45.505196|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-19 00:07:05.002880|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-19 00:07:05.003024|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-19 01:09:33.330451|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-19 01:09:33.330605|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-19 02:12:53.398707|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-19 02:12:53.398911|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-19 03:15:27.420658|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-19 03:15:27.420804|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-19 04:17:41.693964|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-19 04:17:41.694125|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-19 05:21:08.604080|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-19 05:21:08.604200|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-19 06:23:23.060686|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-19 06:23:23.060830|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-19 07:26:11.309595|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-19 07:26:11.309762|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-19 08:28:50.635289|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-19 08:28:50.635415|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-19 09:31:16.770676|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-19 09:31:16.770805|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-19 10:32:46.833772|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-19 10:32:46.833900|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-19 11:34:51.168575|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-19 11:34:51.168702|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-03-19 12:37:52.967845|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-03-19 12:37:52.968008|ERROR   |              |   | Unable to connect to primary address, trying secondary
