2015-10-13 00:24:12.495982|INFO    |ServerLibPriv |   | TeamSpeak 3 Server 3.0.11.2 (2014-12-15 14:43:52)
2015-10-13 00:24:16.985040|INFO    |ServerLibPriv |   | SystemInformation: Linux 2.6.32-042stab111.12 #1 SMP Thu Sep 17 11:38:20 MSK 2015 x86_64 Binary: 64bit
2015-10-13 00:24:18.762268|INFO    |DatabaseQuery |   | dbPlugin name:    SQLite3 plugin, Version 2, (c)TeamSpeak Systems GmbH
2015-10-13 00:24:19.427152|INFO    |DatabaseQuery |   | dbPlugin version: 3.6.21
2015-10-13 00:24:20.141298|INFO    |DatabaseQuery |   | checking database integrity (may take a while)
2015-10-13 00:24:28.593492|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-10-13 00:24:29.225146|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-10-13 00:24:29.665823|INFO    |Accounting    |   | Licensing Information
2015-10-13 00:24:34.155427|INFO    |Accounting    |   | type              : Non-profit
2015-10-13 00:24:34.155638|INFO    |Accounting    |   | starting date     : Mon Dec 24 00:00:00 2012
2015-10-13 00:24:34.155689|INFO    |Accounting    |   | ending date       : Sat Jun 29 00:00:00 2013
2015-10-13 00:24:34.155730|INFO    |Accounting    |   | max virtualservers: 10
2015-10-13 00:24:34.155768|INFO    |Accounting    |   | max slots         : 512
2015-10-13 00:24:57.450138|INFO    |              |   | Puzzle precompute time: 15056
2015-10-13 00:25:04.245979|INFO    |FileManager   |   | listening on 0.0.0.0:30033
2015-10-13 00:25:25.535611|INFO    |CIDRManager   |   | updated query_ip_whitelist ips: 127.0.0.1, 
2015-10-13 00:25:25.688108|INFO    |Query         |   | listening on 0.0.0.0:10011
2015-10-13 00:25:26.284250|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-10-13 00:25:26.697669|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-10-13 01:31:30.550540|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-10-13 01:31:30.550744|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-10-13 02:37:57.559276|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-10-13 02:37:57.559539|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-10-13 03:46:41.936741|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-10-13 03:46:41.937001|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-10-13 04:52:12.957397|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-10-13 04:52:12.957573|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-10-13 05:54:36.068612|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-10-13 05:54:36.068731|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-10-13 07:02:53.176772|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-10-13 07:02:53.176911|ERROR   |              |   | Unable to connect to primary address, trying secondary
