2015-08-13 07:32:01.856386|INFO    |ServerLibPriv |   | TeamSpeak 3 Server 3.0.11.2 (2014-12-15 14:43:52)
2015-08-13 07:32:01.871534|INFO    |ServerLibPriv |   | SystemInformation: Linux 2.6.32-042stab108.5 #1 SMP Wed Jun 17 20:20:17 MSK 2015 x86_64 Binary: 64bit
2015-08-13 07:32:01.986569|INFO    |DatabaseQuery |   | dbPlugin name:    SQLite3 plugin, Version 2, (c)TeamSpeak Systems GmbH
2015-08-13 07:32:01.998258|INFO    |DatabaseQuery |   | dbPlugin version: 3.6.21
2015-08-13 07:32:02.011447|INFO    |DatabaseQuery |   | checking database integrity (may take a while)
2015-08-13 07:32:02.357516|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-08-13 07:32:02.357689|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-08-13 07:32:02.767823|INFO    |Accounting    |   | Licensing Information
2015-08-13 07:32:02.768161|INFO    |Accounting    |   | type              : Non-profit
2015-08-13 07:32:02.768257|INFO    |Accounting    |   | starting date     : Mon Dec 24 00:00:00 2012
2015-08-13 07:32:02.768299|INFO    |Accounting    |   | ending date       : Sat Jun 29 00:00:00 2013
2015-08-13 07:32:02.768336|INFO    |Accounting    |   | max virtualservers: 10
2015-08-13 07:32:02.768373|INFO    |Accounting    |   | max slots         : 512
2015-08-13 07:32:06.304988|INFO    |              |   | Puzzle precompute time: 3481
2015-08-13 07:32:06.307234|INFO    |FileManager   |   | listening on 0.0.0.0:30033
2015-08-13 07:32:07.896264|INFO    |CIDRManager   |   | updated query_ip_whitelist ips: 127.0.0.1, 
2015-08-13 07:32:07.901959|INFO    |Query         |   | listening on 0.0.0.0:10011
2015-08-13 07:32:07.993087|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-08-13 07:32:07.993183|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-08-13 07:32:11.486281|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-08-13 07:32:11.486370|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-08-13 08:37:14.585101|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-08-13 08:37:14.585249|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-08-13 09:41:42.893811|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-08-13 09:41:42.893952|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-08-13 10:42:39.408492|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-08-13 10:42:39.408697|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-08-13 11:43:09.364249|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-08-13 11:43:09.364372|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-08-13 12:44:30.024654|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-08-13 12:44:30.024807|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-08-13 13:45:17.229947|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-08-13 13:45:17.230123|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-08-13 14:47:06.102326|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-08-13 14:47:06.102492|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-08-13 15:48:15.267551|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-08-13 15:48:15.275606|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-08-13 16:49:30.925175|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-08-13 16:49:30.925384|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-08-13 17:53:27.482426|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-08-13 17:53:27.482574|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-08-13 18:54:11.686049|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-08-13 18:54:11.686217|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-08-13 19:57:06.734449|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-08-13 19:57:06.734584|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-08-13 21:00:57.464775|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-08-13 21:00:57.464966|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-08-13 22:07:40.486330|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-08-13 22:07:40.486486|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-08-13 23:08:59.061153|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-08-13 23:08:59.061314|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-08-13 23:10:30.406431|INFO    |ServerMain    |   | Received signal SIGTERM, shutting down.
