2015-02-14 09:40:19.656530|INFO    |VirtualServer |  1| listening on 0.0.0.0:9987
2015-02-14 09:40:40.647478|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:52910'(id:139)
2015-02-14 09:40:40.924053|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 09:41:42.461284|INFO    |VirtualServer |  1| permission 'i_group_show_name_in_tree'(id:149) with values (value:0, negated:0, skipchannel:0) was added by 'McKeyPL'(id:2) to servergroup 'McKey'(id:9)
2015-02-14 09:43:40.718994|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:52005'(id:139)
2015-02-14 09:43:40.935176|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 09:47:10.646179|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:41035'(id:139)
2015-02-14 09:47:10.846503|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 09:50:10.289619|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:34381'(id:139)
2015-02-14 09:50:10.493266|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 09:52:08.648375|INFO    |VirtualServer |  1| query client connected 'serveradmin from 78.8.17.115:20625'(id:1)
2015-02-14 09:52:21.200813|INFO    |VirtualServerBase|  1| query client disconnected 'serveradmin from 78.8.17.115:20625'(id:1) reason 'reasonmsg=connection lost'
2015-02-14 09:52:49.100153|INFO    |VirtualServer |  1| query client connected 'serveradmin from 78.8.17.115:20644'(id:1)
2015-02-14 09:53:10.913869|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:46507'(id:139)
2015-02-14 09:53:11.161270|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 09:53:12.439042|INFO    |VirtualServer |  1| client 'McKeyPL'(id:2) added privilege key for channelgroup 'Channel Admin'(id:5) and channel 'Bronies Twilight'(id:361)
2015-02-14 09:56:40.579734|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:38017'(id:139)
2015-02-14 09:56:40.801644|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 09:59:40.824321|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:44954'(id:139)
2015-02-14 09:59:41.191734|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 09:59:49.145174|INFO    |VirtualServer |  1| client (id:2) was added to servergroup 'Server Admin'(id:6) by client 'serveradmin from 78.8.17.115:20644'(id:1)
2015-02-14 10:00:22.956984|INFO    |VirtualServer |  1| client (id:253) was removed from servergroup 'Scarlet'(id:16) by client 'serveradmin from 78.8.17.115:20644'(id:1)
2015-02-14 10:01:01.075895|INFO    |VirtualServer |  1| client (id:253) was added to servergroup 'Scarlet'(id:16) by client 'serveradmin from 78.8.17.115:20644'(id:1)
2015-02-14 10:02:04.302542|INFO    |VirtualServerBase|  1| query client disconnected 'serveradmin from 78.8.17.115:20644'(id:1) reason 'reasonmsg=connection lost'
2015-02-14 10:02:28.553105|INFO    |VirtualServer |  1| client (id:2) was removed from servergroup 'McKey'(id:9) by client 'McKeyPL'(id:2)
2015-02-14 10:02:35.500987|INFO    |VirtualServer |  1| permission 'i_icon_id'(id:142) with values (value:181875146, negated:0, skipchannel:0) was added by 'McKeyPL'(id:2) to servergroup 'McKey'(id:9)
2015-02-14 10:02:51.252325|INFO    |VirtualServer |  1| permission 'i_icon_id'(id:142) with values (value:1434487208, negated:0, skipchannel:0) was added by 'McKeyPL'(id:2) to servergroup 'McKey'(id:9)
2015-02-14 10:03:01.878342|INFO    |VirtualServer |  1| permission 'i_icon_id'(id:142) with values (value:-657009306, negated:0, skipchannel:0) was added by 'McKeyPL'(id:2) to servergroup 'McKey'(id:9)
2015-02-14 10:03:10.772602|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:41182'(id:139)
2015-02-14 10:03:10.947753|INFO    |VirtualServer |  1| client (id:2) was added to servergroup 'McKey'(id:9) by client 'McKeyPL'(id:2)
2015-02-14 10:03:11.003035|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 10:03:16.374027|INFO    |VirtualServer |  1| client (id:2) was removed from servergroup 'Server Admin'(id:6) by client 'McKeyPL'(id:2)
2015-02-14 10:06:10.576368|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:41699'(id:139)
2015-02-14 10:06:10.758080|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 10:09:40.786953|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:44532'(id:139)
2015-02-14 10:09:40.989160|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 10:11:58.338499|INFO    |VirtualServer |  1| query client connected 'serveradmin from 127.0.0.1:57889'(id:1)
2015-02-14 10:12:41.079141|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:53743'(id:139)
2015-02-14 10:12:41.258815|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 10:15:40.850407|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:50855'(id:139)
2015-02-14 10:15:41.049962|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 10:15:54.504692|INFO    |VirtualServer |  1| client 'serveradmin from 127.0.0.1:57889'(id:1) added privilege key for servergroup 'Admin Server Query'(id:2)
2015-02-14 10:16:03.099982|INFO    |VirtualServer |  1| client (id:2) was added to servergroup 'Admin Server Query'(id:2) by client 'server'(id:0)
2015-02-14 10:16:03.102856|INFO    |VirtualServer |  1| client 'McKeyPL'(id:2) used privilege key 'DNXWyprGnkus8G1+7HNyyhsRpVwC7TvlhWwgz6j7' and was added to servergroup 'Admin Server Query'(id:2)
2015-02-14 10:16:33.255089|INFO    |VirtualServer |  1| permission 'i_icon_id'(id:142) with values (value:-20614837, negated:0, skipchannel:0) was added by 'McKeyPL'(id:2) to servergroup 'McKey'(id:9)
2015-02-14 10:16:38.032178|INFO    |VirtualServer |  1| permission 'i_icon_id'(id:142) with values (value:-1568668365, negated:0, skipchannel:0) was added by 'McKeyPL'(id:2) to servergroup 'McKey'(id:9)
2015-02-14 10:16:54.767220|INFO    |VirtualServer |  1| servergroup 'Admin Server Query'(id:2) was copied by 'McKeyPL'(id:2) to 'McKey'(id:9)
2015-02-14 10:17:03.369851|INFO    |VirtualServer |  1| permission 'i_icon_id'(id:142) with values (value:-450503062, negated:0, skipchannel:0) was added by 'McKeyPL'(id:2) to servergroup 'McKey'(id:9)
2015-02-14 10:17:11.579020|INFO    |VirtualServer |  1| permission 'i_group_sort_id'(id:148) with values (value:1, negated:0, skipchannel:0) was added by 'McKeyPL'(id:2) to servergroup 'McKey'(id:9)
2015-02-14 10:19:10.894541|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:42924'(id:139)
2015-02-14 10:19:11.190230|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 10:20:04.091891|INFO    |VirtualServer |  1| query client connected 'serveradmin from 78.8.17.115:23912'(id:1)
2015-02-14 10:20:15.038252|INFO    |VirtualServer |  1| client (id:2) was removed from servergroup 'Admin Server Query'(id:2) by client 'serveradmin from 78.8.17.115:23912'(id:1)
2015-02-14 10:20:19.732635|INFO    |VirtualServerBase|  1| query client disconnected 'serveradmin from 78.8.17.115:23912'(id:1) reason 'reasonmsg=connection lost'
2015-02-14 10:21:06.850134|INFO    |VirtualServer |  1| permission 'b_channel_create_modify_with_force_password'(id:103) with values (value:1, negated:0, skipchannel:0) was added by 'McKeyPL'(id:2) to servergroup 'McKey'(id:9)
2015-02-14 10:21:07.075837|INFO    |VirtualServer |  1| permission 'b_channel_create_modify_with_force_password'(id:103) with values (value:0, negated:0, skipchannel:0) was added by 'McKeyPL'(id:2) to servergroup 'McKey'(id:9)
2015-02-14 10:21:08.352446|INFO    |VirtualServer |  1| permission 'b_virtualserver_modify_temporary_passwords_own'(id:74) with values (value:1, negated:0, skipchannel:0) was added by 'McKeyPL'(id:2) to servergroup 'McKey'(id:9)
2015-02-14 10:21:08.418113|INFO    |VirtualServer |  1| permission 'b_virtualserver_modify_temporary_passwords_own'(id:74) with values (value:0, negated:0, skipchannel:0) was added by 'McKeyPL'(id:2) to servergroup 'McKey'(id:9)
2015-02-14 10:21:09.431830|INFO    |VirtualServer |  1| permission 'b_virtualserver_modify_temporary_passwords_own'(id:74) with values (value:1, negated:0, skipchannel:0) was added by 'McKeyPL'(id:2) to servergroup 'McKey'(id:9)
2015-02-14 10:21:10.562863|INFO    |VirtualServer |  1| permission 'b_channel_create_modify_with_force_password'(id:103) with values (value:1, negated:0, skipchannel:0) was added by 'McKeyPL'(id:2) to servergroup 'McKey'(id:9)
2015-02-14 10:22:10.318100|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:57126'(id:139)
2015-02-14 10:22:10.586766|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 10:23:08.409740|INFO    |VirtualServerBase|  1| query client disconnected 'serveradmin from 127.0.0.1:57889'(id:1) reason 'reasonmsg=disconnecting'
2015-02-14 10:23:48.615807|INFO    |VirtualServer |  1| permission 'i_group_sort_id'(id:148) with values (value:5, negated:0, skipchannel:0) was added by 'McKeyPL'(id:2) to servergroup 'McKey'(id:9)
2015-02-14 10:23:54.342052|INFO    |VirtualServer |  1| permission 'i_group_sort_id'(id:148) with values (value:1, negated:0, skipchannel:0) was added by 'McKeyPL'(id:2) to servergroup 'McKey'(id:9)
2015-02-14 10:25:11.018193|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:39572'(id:139)
2015-02-14 10:25:11.286925|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 10:28:10.563219|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:53390'(id:139)
2015-02-14 10:28:10.753240|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 10:30:15.176022|INFO    |VirtualServer |  1| permission 'i_client_talk_power'(id:219) with values (value:100, negated:0, skipchannel:0) was added by 'McKeyPL'(id:2) to servergroup 'McKey'(id:9)
2015-02-14 10:30:18.210525|INFO    |VirtualServer |  1| permission 'b_client_force_push_to_talk'(id:179) with values (value:1, negated:0, skipchannel:0) was added by 'McKeyPL'(id:2) to servergroup 'McKey'(id:9)
2015-02-14 10:30:18.219567|INFO    |VirtualServer |  1| permission 'b_client_force_push_to_talk'(id:179) with values (value:0, negated:0, skipchannel:0) was added by 'McKeyPL'(id:2) to servergroup 'McKey'(id:9)
2015-02-14 10:30:21.558675|INFO    |VirtualServer |  1| permission 'b_client_force_push_to_talk'(id:179) was deleted by 'McKeyPL'(id:2) from servergroup 'McKey'(id:9)
2015-02-14 10:31:11.153493|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:45240'(id:139)
2015-02-14 10:31:11.346413|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 10:34:01.263936|INFO    |VirtualServer |  1| permission 'i_icon_id'(id:142) with values (value:-450503062) was added by 'McKeyPL'(id:2) to channel 'Bronies Twilight'(id:361)
2015-02-14 10:34:40.756565|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:39312'(id:139)
2015-02-14 10:34:40.990625|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 10:38:10.142733|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:56710'(id:139)
2015-02-14 10:38:10.336383|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 10:41:10.994657|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:38136'(id:139)
2015-02-14 10:41:11.185774|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 10:44:10.395629|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:50592'(id:139)
2015-02-14 10:44:10.591805|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 10:47:40.456304|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:37927'(id:139)
2015-02-14 10:47:40.699348|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 10:50:40.489187|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:46223'(id:139)
2015-02-14 10:50:40.757177|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 10:53:41.022365|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:41452'(id:139)
2015-02-14 10:53:41.338743|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 10:56:40.811116|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:41539'(id:139)
2015-02-14 10:56:40.996629|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 10:59:40.461139|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:58097'(id:139)
2015-02-14 10:59:40.725151|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 11:03:10.771593|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:34641'(id:139)
2015-02-14 11:03:11.013629|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 11:06:40.767748|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:55265'(id:139)
2015-02-14 11:06:40.943332|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 11:10:10.931245|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:50821'(id:139)
2015-02-14 11:10:11.119120|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 11:13:10.964439|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:36720'(id:139)
2015-02-14 11:13:11.178950|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 11:16:10.091957|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:43321'(id:139)
2015-02-14 11:16:10.457832|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 11:19:40.861465|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:50225'(id:139)
2015-02-14 11:19:41.036968|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 11:23:10.549402|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:41230'(id:139)
2015-02-14 11:23:10.739777|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 11:26:40.712061|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:36653'(id:139)
2015-02-14 11:26:41.054005|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 11:30:10.821771|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:45409'(id:139)
2015-02-14 11:30:11.114855|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 11:33:10.472481|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:38961'(id:139)
2015-02-14 11:33:10.666353|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 11:37:10.179190|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:55981'(id:139)
2015-02-14 11:37:10.426889|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 11:40:10.450493|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:47088'(id:139)
2015-02-14 11:40:10.746614|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 11:43:10.772715|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:46927'(id:139)
2015-02-14 11:43:11.036156|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 11:46:40.286787|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:46557'(id:139)
2015-02-14 11:46:40.449854|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 11:50:10.817597|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:50409'(id:139)
2015-02-14 11:50:11.034403|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 11:53:40.279405|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:42255'(id:139)
2015-02-14 11:53:40.563252|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 11:56:10.458878|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:53281'(id:139)
2015-02-14 11:56:10.731232|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 11:58:41.059358|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:55868'(id:139)
2015-02-14 11:58:41.407677|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 12:02:10.938341|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:37105'(id:139)
2015-02-14 12:02:11.116641|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 12:06:10.510567|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:47735'(id:139)
2015-02-14 12:06:10.686979|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 12:10:10.288094|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:32920'(id:139)
2015-02-14 12:10:10.544586|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 12:13:40.877298|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:54398'(id:139)
2015-02-14 12:13:41.170017|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 12:17:10.834784|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:55273'(id:139)
2015-02-14 12:17:11.063938|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 12:20:40.586502|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:37093'(id:139)
2015-02-14 12:20:40.889407|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 12:24:11.057643|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:49803'(id:139)
2015-02-14 12:24:11.372538|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 12:28:11.580632|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:38715'(id:139)
2015-02-14 12:28:11.776427|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 12:32:10.478110|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:41080'(id:139)
2015-02-14 12:32:10.684683|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 12:35:10.241390|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:49304'(id:139)
2015-02-14 12:35:10.499805|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 12:38:40.437790|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:60970'(id:139)
2015-02-14 12:38:40.617544|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 12:41:40.607242|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:49707'(id:139)
2015-02-14 12:41:40.812960|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 12:45:10.294115|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:34551'(id:139)
2015-02-14 12:45:10.515273|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 12:48:10.636682|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:55417'(id:139)
2015-02-14 12:48:10.881269|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 12:51:10.627582|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:37730'(id:139)
2015-02-14 12:51:10.823054|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 12:54:11.184207|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:33509'(id:139)
2015-02-14 12:54:11.396635|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 12:57:11.091712|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:42861'(id:139)
2015-02-14 12:57:11.274218|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 13:00:10.753076|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:51863'(id:139)
2015-02-14 13:00:10.951482|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 13:03:10.529831|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:42636'(id:139)
2015-02-14 13:03:10.717274|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 13:07:10.725784|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:41333'(id:139)
2015-02-14 13:07:10.959103|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-02-14 13:10:10.460420|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:53622'(id:139)
