2015-04-23 05:16:02.707066|INFO    |ServerLibPriv |   | TeamSpeak 3 Server 3.0.11.2 (2014-12-15 14:43:52)
2015-04-23 05:16:02.707334|INFO    |ServerLibPriv |   | SystemInformation: Linux 2.6.32-042stab106.4 #1 SMP Fri Mar 27 15:19:28 MSK 2015 x86_64 Binary: 64bit
2015-04-23 05:16:02.714074|INFO    |DatabaseQuery |   | dbPlugin name:    SQLite3 plugin, Version 2, (c)TeamSpeak Systems GmbH
2015-04-23 05:16:02.714185|INFO    |DatabaseQuery |   | dbPlugin version: 3.6.21
2015-04-23 05:16:02.715124|INFO    |DatabaseQuery |   | checking database integrity (may take a while)
2015-04-23 05:16:03.335208|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-04-23 05:16:03.335317|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-04-23 05:16:03.709485|INFO    |Accounting    |   | Licensing Information
2015-04-23 05:16:03.709595|INFO    |Accounting    |   | type              : Non-profit
2015-04-23 05:16:03.709674|INFO    |Accounting    |   | starting date     : Mon Dec 24 00:00:00 2012
2015-04-23 05:16:03.709721|INFO    |Accounting    |   | ending date       : Sat Jun 29 00:00:00 2013
2015-04-23 05:16:03.709763|INFO    |Accounting    |   | max virtualservers: 10
2015-04-23 05:16:03.709801|INFO    |Accounting    |   | max slots         : 512
2015-04-23 05:16:09.877971|INFO    |              |   | Puzzle precompute time: 5317
2015-04-23 05:16:09.879079|INFO    |FileManager   |   | listening on 0.0.0.0:30033
2015-04-23 05:16:10.079536|INFO    |CIDRManager   |   | updated query_ip_whitelist ips: 127.0.0.1, 
2015-04-23 05:16:10.080086|INFO    |Query         |   | listening on 0.0.0.0:10011
2015-04-23 05:16:10.172929|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-04-23 05:16:10.173026|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-04-23 05:21:12.000101|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-23 05:21:14.014710|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-23 05:31:10.127555|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-23 05:31:12.000106|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-23 05:31:14.148406|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-23 05:41:10.169200|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-23 05:41:12.000316|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-23 05:41:14.000210|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-23 05:51:10.209731|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-23 05:51:12.000084|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-23 05:51:14.000311|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-23 06:01:10.335601|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-23 06:01:12.000116|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-23 06:01:14.011163|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-23 06:11:10.374579|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-23 06:11:12.000064|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-23 06:11:14.000097|ERROR   |              |   | TS3ANetwork::Send failed error: 111
2015-04-23 06:20:16.368704|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
