2016-04-26 21:56:42.774182|INFO    |VirtualServer |  1| listening on 0.0.0.0:9987
2016-04-26 21:56:43.287834|INFO    |VirtualServerBase|  1| client connected 'Scarletto'(id:1383) from 176.221.124.190:28106
2016-04-26 21:56:43.347377|INFO    |VirtualServerBase|  1| client connected 'McK Bot'(id:2634) from 89.40.118.55:52483
2016-04-26 21:56:48.998811|INFO    |VirtualServerBase|  1| client connected 'Magiczny Fred'(id:1787) from 83.23.4.151:62879
2016-04-26 21:57:00.608016|INFO    |VirtualServerBase|  1| client connected 'Ares Prime'(id:1391) from 164.127.167.213:56822
2016-04-26 21:57:05.468414|INFO    |VirtualServerBase|  1| client connected 'McK [Nic]'(id:2) from 178.37.175.124:55423
2016-04-26 21:57:27.738372|INFO    |VirtualServerBase|  1| client disconnected 'McK [Nic]'(id:2) reason 'reasonmsg=Poszed&#322; ch&#281;dorzy&#263; Twilight'
2016-04-26 21:57:52.808788|INFO    |VirtualServerBase|  1| client connected 'Mrroczny RED,Gimbek'(id:1729) from 83.25.133.74:51268
2016-04-26 22:59:58.039374|INFO    |VirtualServer |  1| complaint added for client 'Scarletto'(id:1383) reason 'puszcza kaloes g&#243;wno ...' by client 'Magiczny Fred'(id:1787)
2016-04-26 23:00:22.565271|INFO    |VirtualServer |  1| complaint added for client 'Mrroczny RED,Gimbek'(id:1729) reason 'jest brzydki' by client 'Magiczny Fred'(id:1787)
2016-04-26 23:00:58.487779|INFO    |VirtualServer |  1| all complaints got deleted by client 'Scarletto'(id:1383) for client 'Mrroczny RED,Gimbek'(id:1729)
2016-04-26 23:00:59.654220|INFO    |VirtualServer |  1| all complaints got deleted by client 'Scarletto'(id:1383) for client 'Scarletto'(id:1383)
2016-04-26 23:02:14.061549|INFO    |VirtualServerBase|  1| client disconnected 'Mrroczny RED,Gimbek'(id:1729) reason 'invokerid=1 invokername=Scarletto invokeruid=jyIt9CLljA9JJnFQ/pWMHRihL6g= reasonmsg'
2016-04-26 23:02:23.754356|INFO    |VirtualServerBase|  1| client connected 'Mrroczny RED,Gimbek'(id:1729) from 83.25.133.74:63703
