2014-07-26 18:07:04.344171|INFO    |ServerLibPriv |   | TeamSpeak 3 Server 3.0.10.3 (2014-01-01 16:28:39)
2014-07-26 18:07:04.344296|INFO    |ServerLibPriv |   | SystemInformation: Linux 2.6.32-042stab092.2 #1 SMP Tue Jul 8 10:35:55 MSK 2014 x86_64 Binary: 64bit
2014-07-26 18:07:04.345621|INFO    |DatabaseQuery |   | dbPlugin name:    SQLite3 plugin, Version 2, (c)TeamSpeak Systems GmbH
2014-07-26 18:07:04.345674|INFO    |DatabaseQuery |   | dbPlugin version: 3.7.3
2014-07-26 18:07:04.346078|INFO    |DatabaseQuery |   | checking database integrity (may take a while)
2014-07-26 18:07:04.369242|INFO    |SQL           |   | db_CreateTables() tables created
2014-07-26 18:07:04.573914|WARNING |Accounting    |   | Unable to find valid license key, falling back to limited functionality
2014-07-26 18:07:04.575423|ERROR   |Accounting    |   | failed to register local accounting service
2014-07-26 18:07:04.575472|ERROR   |ServerLibPriv |   | Server() error while starting servermanager, error: instance check error
