2015-06-30 02:52:01.933339|INFO    |ServerLibPriv |   | TeamSpeak 3 Server 3.0.11.2 (2014-12-15 14:43:52)
2015-06-30 02:52:01.961392|INFO    |ServerLibPriv |   | SystemInformation: Linux 2.6.32-042stab108.5 #1 SMP Wed Jun 17 20:20:17 MSK 2015 x86_64 Binary: 64bit
2015-06-30 02:52:02.027744|INFO    |DatabaseQuery |   | dbPlugin name:    SQLite3 plugin, Version 2, (c)TeamSpeak Systems GmbH
2015-06-30 02:52:02.030661|INFO    |DatabaseQuery |   | dbPlugin version: 3.6.21
2015-06-30 02:52:02.061924|INFO    |DatabaseQuery |   | checking database integrity (may take a while)
2015-06-30 02:52:02.380365|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-06-30 02:52:02.418077|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-06-30 02:52:02.813823|INFO    |Accounting    |   | Licensing Information
2015-06-30 02:52:02.813949|INFO    |Accounting    |   | type              : Non-profit
2015-06-30 02:52:02.814038|INFO    |Accounting    |   | starting date     : Mon Dec 24 00:00:00 2012
2015-06-30 02:52:02.814096|INFO    |Accounting    |   | ending date       : Sat Jun 29 00:00:00 2013
2015-06-30 02:52:02.814151|INFO    |Accounting    |   | max virtualservers: 10
2015-06-30 02:52:02.814204|INFO    |Accounting    |   | max slots         : 512
2015-06-30 02:52:05.584048|INFO    |              |   | Puzzle precompute time: 2706
2015-06-30 02:52:05.585670|INFO    |FileManager   |   | listening on 0.0.0.0:30033
2015-06-30 02:52:05.953070|INFO    |CIDRManager   |   | updated query_ip_whitelist ips: 127.0.0.1, 
2015-06-30 02:52:05.956576|INFO    |Query         |   | listening on 0.0.0.0:10011
2015-06-30 02:52:06.027633|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-06-30 02:52:06.027762|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-06-30 03:52:10.659561|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-06-30 03:52:10.659724|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-06-30 04:52:25.215414|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-06-30 04:52:25.215613|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-06-30 05:54:02.654026|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-06-30 05:54:02.654333|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-06-30 06:54:09.101719|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-06-30 06:54:09.101813|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-06-30 07:54:15.383026|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-06-30 07:54:15.383113|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-06-30 08:54:22.833914|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-06-30 08:54:22.834084|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-06-30 09:54:34.231440|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-06-30 09:54:34.242087|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-06-30 10:54:39.475417|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-06-30 10:54:39.475527|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-06-30 11:54:45.129476|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-06-30 11:54:45.129578|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-06-30 12:54:59.409147|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-06-30 12:54:59.409402|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-06-30 13:55:09.858514|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-06-30 13:55:09.858671|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-06-30 14:55:30.273132|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-06-30 14:55:30.273393|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-06-30 15:55:53.986682|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-06-30 15:55:53.986890|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-06-30 16:56:00.240479|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-06-30 16:56:00.240572|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-06-30 17:56:06.712093|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-06-30 17:56:06.712269|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-06-30 18:56:13.635672|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-06-30 18:56:13.635800|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-06-30 19:56:57.976403|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-06-30 19:56:57.976610|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-06-30 20:57:13.377275|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-06-30 20:57:13.377504|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-06-30 21:57:23.836916|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-06-30 21:57:23.837290|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-06-30 22:57:31.257022|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-06-30 22:57:31.257218|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-06-30 23:57:37.998788|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-06-30 23:57:37.998915|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-07-01 00:01:02.356214|INFO    |VirtualSvrMgr |   | executing monthly interval
2015-07-01 00:01:02.406035|INFO    |VirtualSvrMgr |   | reset virtualserver traffic statistics
2015-07-01 00:57:43.725398|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-07-01 00:57:43.725580|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-07-01 01:57:50.174123|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-07-01 01:57:50.174349|ERROR   |              |   | Unable to connect to primary address, trying secondary
2015-07-01 02:58:02.858617|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2015-07-01 02:58:02.858854|ERROR   |              |   | Unable to connect to primary address, trying secondary
