2015-06-05 04:01:59.271069|INFO    |VirtualServer |  1| listening on 0.0.0.0:9987
2015-06-05 04:03:37.484421|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:37271'(id:139)
2015-06-05 04:03:37.958284|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-06-05 04:05:37.875316|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:41560'(id:139)
2015-06-05 04:05:38.280984|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-06-05 04:07:38.198098|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:46280'(id:139)
2015-06-05 04:07:38.563100|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-06-05 04:09:37.873612|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:56945'(id:139)
2015-06-05 04:09:38.207211|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-06-05 04:11:37.750618|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:60400'(id:139)
2015-06-05 04:11:38.270262|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-06-05 04:13:37.112004|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:38540'(id:139)
2015-06-05 04:13:37.577166|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-06-05 04:15:38.337026|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:45070'(id:139)
2015-06-05 04:15:38.907993|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-06-05 04:17:38.141601|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:38850'(id:139)
2015-06-05 04:17:38.554425|INFO    |VirtualServerBase|  1| query client disconnected 'GameTracker'(id:139) reason 'reasonmsg=connection lost'
2015-06-05 04:19:37.869246|INFO    |VirtualServer |  1| query client connected 'Unknown from 108.61.78.149:38592'(id:139)
