2016-01-12 20:29:10.661077|INFO    |ServerLibPriv |   | TeamSpeak 3 Server 3.0.11.2 (2014-12-15 14:43:52)
2016-01-12 20:29:10.664420|INFO    |ServerLibPriv |   | SystemInformation: Linux 2.6.32-042stab111.12 #1 SMP Thu Sep 17 11:38:20 MSK 2015 x86_64 Binary: 64bit
2016-01-12 20:29:10.739836|INFO    |DatabaseQuery |   | dbPlugin name:    SQLite3 plugin, Version 2, (c)TeamSpeak Systems GmbH
2016-01-12 20:29:10.739984|INFO    |DatabaseQuery |   | dbPlugin version: 3.6.21
2016-01-12 20:29:10.744005|INFO    |DatabaseQuery |   | checking database integrity (may take a while)
2016-01-12 20:29:11.051708|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-12 20:29:11.051826|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-12 20:29:11.309458|INFO    |Accounting    |   | Licensing Information
2016-01-12 20:29:11.309576|INFO    |Accounting    |   | type              : Non-profit
2016-01-12 20:29:11.310793|INFO    |Accounting    |   | starting date     : Mon Dec 24 00:00:00 2012
2016-01-12 20:29:11.310851|INFO    |Accounting    |   | ending date       : Sat Jun 29 00:00:00 2013
2016-01-12 20:29:11.310900|INFO    |Accounting    |   | max virtualservers: 10
2016-01-12 20:29:11.310946|INFO    |Accounting    |   | max slots         : 512
2016-01-12 20:29:13.152986|INFO    |              |   | Puzzle precompute time: 1798
2016-01-12 20:29:13.158284|INFO    |FileManager   |   | listening on 0.0.0.0:30033
2016-01-12 20:29:13.583495|INFO    |CIDRManager   |   | updated query_ip_whitelist ips: 127.0.0.1, 
2016-01-12 20:29:13.584758|INFO    |Query         |   | listening on 0.0.0.0:10011
2016-01-12 20:29:13.635449|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-12 20:29:13.635564|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-12 21:29:16.960644|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-12 21:29:16.961632|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-12 22:29:22.225353|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-12 22:29:22.225557|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-12 23:29:27.046227|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-12 23:29:27.046376|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-13 00:29:31.688109|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-13 00:29:31.688270|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-13 01:29:36.621648|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-13 01:29:36.621817|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-13 02:29:41.666248|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-13 02:29:41.666413|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-13 03:29:46.368846|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-13 03:29:46.369009|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-13 04:29:51.093713|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-13 04:29:51.093880|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-13 05:29:55.905377|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-13 05:29:55.905630|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-13 06:30:00.765706|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-13 06:30:00.765854|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-13 07:30:05.529085|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-13 07:30:05.529228|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-13 08:30:10.490528|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-13 08:30:10.496842|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-13 09:30:15.571439|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-13 09:30:15.582905|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-13 10:30:20.521904|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-13 10:30:20.531690|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-13 11:30:25.699053|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-13 11:30:25.713904|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-13 12:30:31.122819|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-13 12:30:31.122979|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-13 13:30:36.160288|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-13 13:30:36.160460|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-13 14:30:41.191226|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-13 14:30:41.191415|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-13 15:30:46.322093|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-13 15:30:46.322248|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-13 16:30:51.079554|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-13 16:30:51.079780|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-13 17:30:55.835083|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-13 17:30:55.835270|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-13 18:31:01.178376|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-13 18:31:01.178584|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-13 19:31:06.337338|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-13 19:31:06.337492|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-13 20:31:12.220546|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-13 20:31:12.220706|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-13 21:31:17.043845|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-13 21:31:17.043994|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-13 22:31:21.815892|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
2016-01-13 22:31:21.816071|ERROR   |              |   | Unable to connect to primary address, trying secondary
2016-01-13 23:31:27.246184|ERROR   |              |   | TS3ANetwork::Connect failed error: 111
